	PIF_178	PIF_087	PIF_090	NETL_005_V1	PIF_115	PIF_110	NETL_019_V1	NETCR_014_V1	NETCR_014_V2	PIF_154	NETL_022_V1	NETL_022_V2	NETL_008_V1	PIF_146	PIF_119	PIF_099	PIF_162	PIF_160	PIF_113	PIF_143	NETCR_007_V1	NETCR_007_V2	PIF_137	PIF_100	NETL_004_V1	PIF_094	PIF_132	PIF_163	NETCR_003_V1	NETL_028_V1	NETL_028_V2	NETCR_013_V1	NETL_020_V1	NETL_020_V2	PIF_192	NETCR_012_V1	NETCR_012_V2	PIF_089	NETCR_002_V1	PIF_179	PIF_114	NETCR_006_V1	PIF_141	NETCR_025_V1	NETCR_025_V2	NETCR_016_V1	PIF_116	PIF_191	PIF_164	NETL_013_V1	PIF_188	PIF_195	NETCR_015_V1	PIF_102	NETL_010_V1	NETL_010_V2	NETL_001_V1	NETCR_015_V2	NETCR_005_V1	PIF_111	PIF_171	NETCR_008_V1	NETCR_008_V2	NETL_017_V1	NETL_017_V2	NETL_002_V1	NETL_002_V2	PIF_190	NETCR_009_V1	NETCR_009_V2	NETL_007_V1	PIF_112	NETCR_019_V2	NETL_012_V1	NETL_012_V2	NETL_003_V1	NETL_003_V2
Adipate	38.09	327.01	131.63	144.03	15.03	25.28	8.41	3.53	8.25	14.59	18.54	259.82	11.02	9.03	3.16	4.81	22.87	15.8	12.43	20.49	18.54	28.79	23.1	3.6	6.11	32.14	68.72	14.15	5.81	21.33	8.94	8.5	11.36	11.02	39.65	6.49	10.18	30.57	13.2	6.42	16.78	16.44	13.87	27.66	37.34	57.97	3.94	3.35	19.11	3.9	6.42	4.81	6.17	18.54	3.46	3.46	5.37	14.15	6.23	16.12	8	1.99	8.58	2.53	1.55	11.47	58.56	9.21	9.03	5.75	8.5	2.94	8.33	4.95	4.14	6.82	6.36
Alanine	314.19	871.31	464.05	589.93	1118.79	237.46	336.97	69.41	102.51	962.95	164.02	502.7	217.02	167.34	34.47	26.84	441.42	188.67	237.46	333.62	254.68	555.57	399.41	78.26	170.72	454.86	1312.91	357.81	29.08	473.43	212.72	330.3	95.58	145.47	87.36	89.12	273.14	478.19	327.01	194.42	304.9	601.85	103.54	403.43	632.7	502.7	86.49	104.58	432.68	48.91	41.26	78.26	376.15	330.3	28.79	21.76	152.93	464.05	221.41	105.64	278.66	16.78	61.56	56.26	20.49	186.79	372.41	56.26	601.85	93.69	58.56	47.47	181.27	78.26	56.26	79.04	75.19
Asparagine	159.17	157.59	89.12	273.14	42.52	157.59	71.52	13.87	32.79	221.41	32.14	64.72	32.14	47.94	13.33	14.3	79.04	54.05	35.87	61.56	96.54	94.63	102.51	16.61	27.66	98.49	132.95	37.34	15.64	125.21	35.52	45.15	19.69	66.69	47.47	24.05	117.92	132.95	62.8	42.1	66.02	177.68	64.07	41.26	89.12	101.49	8	33.12	121.51	12.43	13.07	19.49	130.32	64.07	14.3	8.17	47.94	134.29	62.8	26.05	34.47	6.69	29.96	20.49	12.81	38.47	55.15	17.46	152.93	37.34	15.49	16.78	31.19	17.46	29.08	31.5	17.64
Betaine	109.95	244.69	116.75	278.66	391.51	66.69	149.9	15.33	31.19	149.9	219.2	137	167.34	56.83	41.68	4.06	157.59	78.26	60.34	68.72	131.63	170.72	66.02	50.91	94.63	88.23	156.02	107.77	4.53	114.43	56.26	64.72	127.74	208.51	22.87	45.15	347.23	116.75	126.47	75.94	146.94	39.25	34.12	130.32	120.3	54.05	28.79	59.15	109.95	5.37	11.25	8.58	311.06	55.15	7.92	11.25	70.11	247.15	48.42	13.33	42.52	2.29	14.73	37.71	43.82	21.76	44.26	102.51	137	20.7	27.39	9.58	107.77	18.73	43.38	24.29	21.98
Carnitine	265.07	120.3	25.03	200.34	84.77	40.04	127.74	9.87	7.32	487.85	230.44	35.87	14.88	16.95	24.53	18.36	62.8	24.05	12.06	15.18	29.37	19.3	20.91	4.44	28.79	42.52	33.78	117.92	2.18	91.84	54.6	70.81	61.56	151.41	11.13	6.62	23.1	23.34	120.3	18.54	19.69	90.02	65.37	60.95	15.96	23.81	5.53	13.2	59.74	14.44	18.92	5.26	206.44	111.05	16.12	16.95	7.92	8.41	20.09	70.11	22.87	2.72	26.84	46.06	11.7	34.47	54.6	21.12	12.94	3.06	19.49	44.7	11.94	5.31	13.6	40.45	32.79
Citrate	3714.5	2617.57	862.64	13629.61	854.06	1958.63	3944.19	788.4	1669.03	4675.07	3533.34	854.06	1772.24	323.76	265.07	80.64	897.85	2489.91	4447.07	2643.87	2835.57	5377.61	1958.63	223.63	1422.26	3677.54	9045.29	2230.54	415.72	3714.5	915.99	3071.74	2186.37	2298.47	2392.27	1790.05	4188.09	2951.3	1380.22	1002.25	3604.72	459.44	1366.49	4964.16	7480.09	2697.28	2208.35	502.7	4230.18	177.68	87.36	214.86	4105.16	3327.58	259.82	179.47	2079.74	4105.16	2540.2	1074.92	735.1	59.74	1118.79	972.63	254.68	1719.86	2416.32	432.68	3133.79	1790.05	1012.32	626.41	2921.93	1719.86	1366.49	651.97	424.11
Creatine	196.37	212.72	221.41	85.63	105.64	200.34	383.75	5.81	35.16	126.47	1450.99	1863.11	125.21	102.51	11.7	18.54	419.89	170.72	97.51	55.7	44.26	48.91	71.52	9.58	38.86	43.82	105.64	62.18	4.26	424.11	270.43	40.85	7.92	34.81	27.66	11.47	192.48	232.76	38.09	37.71	76.71	132.95	54.05	71.52	117.92	90.02	41.26	2.75	259.82	6.36	9.03	18.54	46.99	93.69	84.77	395.44	24.29	91.84	49.4	20.91	20.49	4.26	29.67	7.39	4.35	8	30.88	22.65	202.35	9.3	11.94	5.42	30.57	7.17	12.94	17.64	16.28
Creatinine	16481.6	15835.35	24587.66	20952.22	6768.26	15677.78	8022.46	2208.35	6634.24	8690.62	8433.78	6904.99	15677.78	12209.87	1480.3	1635.98	9701.15	10198.54	6974.39	11158.98	9798.65	14328.42	13359.73	1261.43	4865.87	8349.86	33860.35	11271.13	1737.15	21590.31	4188.09	11731.12	5431.66	8349.86	5014.05	4315.64	13359.73	16481.6	7631.2	3197.1	12332.58	19930.37	7115.28	14764.78	22247.84	14328.42	2864.07	1702.75	15063.05	2392.27	2489.91	3604.72	9996.6	7480.09	1480.3	1064.22	6974.39	8266.78	11849.01	3827.63	10614.75	1339.43	7785.36	5115.34	1571.84	6768.26	13359.73	2121.76	13493.99	2298.47	3165.29	1002.25	10097.06	3789.54	3498.19	3498.19	2864.07
Dimethylamine	632.7	607.89	735.1	1064.22	242.26	614	333.62	73.7	214.86	350.72	361.41	273.14	678.58	437.03	46.99	56.26	395.44	1422.26	275.89	379.93	361.41	665.14	539.15	102.51	214.86	350.72	1556.2	336.97	71.52	665.14	142.59	424.11	230.44	327.01	190.57	142.59	411.58	632.7	237.46	125.21	1032.77	1141.39	204.38	528.48	812.41	584.06	90.92	44.7	497.7	83.93	142.59	142.59	304.9	340.36	102.51	41.26	192.48	249.64	368.71	120.3	459.44	56.26	304.9	151.41	87.36	219.2	419.89	104.58	454.86	89.12	130.32	44.7	314.19	127.74	365.04	151.41	148.41
Ethanolamine	645.48	487.85	407.48	820.57	365.04	459.44	217.02	55.7	183.09	437.03	184.93	175.91	354.25	144.03	37.34	29.96	200.34	244.69	290.03	407.48	450.34	713.37	350.72	16.12	86.49	252.14	1436.55	468.72	32.79	212.72	208.51	336.97	135.64	202.35	125.21	102.51	407.48	645.48	144.03	50.91	239.85	539.15	237.46	383.75	735.1	614	82.27	48.91	432.68	66.69	35.87	34.12	906.87	320.54	58.56	51.42	204.38	692.29	265.07	206.44	196.37	40.45	144.03	131.63	40.85	145.47	239.85	86.49	555.57	114.43	138.38	21.54	395.44	112.17	112.17	61.56	53.52
Formate	441.42	252.14	249.64	468.72	114.43	314.19	67.36	49.9	68.03	320.54	83.93	165.67	46.06	91.84	79.84	57.4	53.52	89.12	160.77	314.19	130.32	198.34	154.47	58.56	36.23	202.35	1480.3	368.71	21.98	115.58	102.51	196.37	130.32	142.59	120.3	62.18	148.41	379.93	175.91	146.94	403.43	89.12	165.67	62.18	119.1	27.66	87.36	34.47	219.2	17.29	15.49	52.98	292.95	235.1	45.6	21.54	72.24	181.27	85.63	112.17	167.34	6.42	45.15	28.22	24.05	113.3	100.48	61.56	47.94	20.7	71.52	46.53	149.9	42.95	61.56	65.37	95.58
Fucose	336.97	198.34	186.79	407.48	26.05	123.97	55.7	18.17	72.97	57.4	138.38	94.63	210.61	101.49	24.05	31.19	64.07	26.84	61.56	117.92	82.27	156.02	93.69	13.6	24.29	86.49	181.27	109.95	12.55	167.34	38.09	159.17	60.95	57.4	42.52	18.17	101.49	204.38	43.38	48.42	79.04	336.97	37.71	130.32	237.46	196.37	30.27	17.12	196.37	26.58	47.47	31.82	148.41	64.07	15.33	5.7	91.84	87.36	37.71	25.79	137	15.18	91.84	24.53	6.89	52.46	131.63	22.87	86.49	31.82	52.46	15.64	82.27	29.37	24.05	70.81	52.46
Fumarate	7.69	18.92	7.1	96.54	19.69	5.05	4.71	1.86	3.56	12.06	10.91	11.47	6.05	3.49	1.48	2.23	10.49	3.39	5.21	3.1	4.85	7.85	19.11	17.46	8.17	7.17	7.54	5.7	0.9	10.07	1.82	2.69	2.32	4.14	2.86	2.01	6.05	9.97	3.67	2.18	10.28	7.32	2.14	31.19	75.94	23.81	1.12	1.99	6.89	1.21	1.6	3.71	6.82	9.58	1.36	0.79	2.69	5.7	4.1	3.6	8.08	1.46	1.14	2.05	3.35	4.26	6.69	3.1	36.23	3.42	1.21	1.62	3.67	2.48	3.63	2.51	1.62
Glucose	395.44	8690.62	1352.89	862.64	6836.29	512.86	237.46	80.64	177.68	972.63	170.72	473.43	419.89	183.09	43.82	57.97	105.64	387.61	221.41	473.43	267.74	528.48	845.56	5943.18	109.95	403.43	1032.77	632.7	69.41	333.62	62.8	267.74	126.47	156.02	99.48	79.84	445.86	595.86	210.61	445.86	314.19	1450.99	117.92	407.48	399.41	788.4	87.36	34.81	327.01	75.19	44.26	114.43	320.54	336.97	42.95	38.09	92.76	221.41	214.86	164.02	304.9	57.97	139.77	76.71	71.52	162.39	281.46	75.19	275.89	68.72	75.94	26.84	188.67	122.73	121.51	78.26	72.97
Glutamine	871.31	601.85	301.87	1685.81	432.68	298.87	561.16	71.52	145.47	1022.49	179.47	445.86	237.46	121.51	36.6	26.84	512.86	214.86	225.88	399.41	487.85	888.91	445.86	38.09	116.75	415.72	539.15	772.78	32.14	333.62	114.43	492.75	157.59	214.86	145.47	145.47	368.71	482.99	454.86	278.66	533.79	780.55	181.27	403.43	528.48	555.57	92.76	46.99	290.03	24.29	35.52	29.37	437.03	284.29	43.82	23.34	181.27	685.4	287.15	75.19	273.14	32.14	91.84	41.26	41.26	122.73	275.89	45.6	862.64	121.51	123.97	57.97	225.88	113.3	113.3	122.73	123.97
Glycine	2038.56	1107.65	620.17	5064.45	395.44	482.99	3428.92	196.37	292.95	3294.47	492.75	607.89	880.07	330.3	104.58	74.44	160.77	1141.39	2298.47	1096.63	992.27	1261.43	1958.63	52.46	518.01	1422.26	2751.77	3428.92	68.72	720.54	415.72	671.83	336.97	424.11	454.86	262.43	749.95	2697.28	871.31	528.48	595.86	1881.83	487.85	678.58	699.24	962.95	257.24	237.46	2275.6	46.06	89.12	141.17	1286.91	871.31	86.49	78.26	1152.86	1261.43	906.87	383.75	482.99	38.09	307.97	186.79	75.94	450.34	788.4	184.93	2038.56	845.56	492.75	265.07	492.75	845.56	804.32	244.69	192.48
Glycolate	685.4	651.97	141.17	70.81	26.58	428.38	290.03	70.11	33.12	589.93	132.95	149.9	228.15	249.64	12.06	36.23	181.27	190.57	141.17	595.86	437.03	478.19	23.81	10.91	107.77	204.38	428.38	90.02	42.95	148.41	172.43	267.74	94.63	257.24	66.69	20.91	307.97	72.97	200.34	117.92	164.02	550.04	244.69	232.76	464.05	177.68	16.44	32.14	130.32	46.53	50.91	38.86	320.54	34.81	7.85	5.42	320.54	441.42	327.01	103.54	41.68	28.79	112.17	29.67	20.7	284.29	720.54	51.42	186.79	66.02	90.02	61.56	317.35	75.19	56.83	89.12	77.48
Guanidoacetate	154.47	109.95	183.09	102.51	52.98	57.97	101.49	42.52	56.26	188.67	137	154.47	83.93	99.48	18.17	25.28	112.17	51.42	18.54	132.95	57.4	98.49	49.4	19.69	108.85	95.58	265.07	145.47	15.18	62.8	62.8	96.54	18.92	51.42	19.11	25.03	198.34	82.27	21.12	24.29	130.32	33.78	561.16	103.54	164.02	127.74	66.69	17.99	116.75	16.95	106.7	87.36	192.48	34.81	83.93	51.94	69.41	301.87	95.58	64.72	35.52	7.46	72.24	15.18	11.36	50.4	79.04	7.03	242.26	45.6	42.52	11.25	83.1	17.64	44.7	42.1	14.3
Hippurate	4582.5	1737.15	4315.64	757.48	1152.86	3568.85	2368.47	254.68	365.04	632.7	2697.28	19341.34	4272.69	2643.87	113.3	92.76	934.49	4023.87	2807.36	4230.18	4675.07	6438.17	6568.23	217.02	645.48	1919.85	8022.46	1339.43	533.79	9045.29	2864.07	550.04	1790.05	3640.95	407.48	437.03	2724.39	1826.21	584.06	3533.34	812.41	1326.1	2038.56	7259.02	2321.57	1366.49	1380.22	478.19	6634.24	665.14	275.89	4817.45	572.49	1085.72	487.85	632.7	2921.93	383.75	464.05	235.1	3904.95	262.43	5710.15	1107.65	372.41	1224.15	1826.21	1012.32	492.75	122.73	572.49	464.05	1510.2	259.82	333.62	1053.63	1043.15
Histidine	925.19	845.56	284.29	1043.15	327.01	459.44	327.01	130.32	183.09	706.27	247.15	497.7	154.47	190.57	24.05	22.87	160.77	190.57	343.78	419.89	347.23	437.03	720.54	14.15	146.94	383.75	1863.11	1164.45	53.52	473.43	148.41	347.23	108.85	61.56	101.49	135.64	507.76	482.99	487.85	142.59	254.68	148.41	330.3	100.48	145.47	492.75	35.16	132.95	265.07	30.57	44.26	51.42	502.7	129.02	26.58	26.58	395.44	614	295.89	28.5	98.49	16.28	103.54	56.26	35.52	399.41	720.54	39.25	544.57	27.39	78.26	66.69	267.74	64.07	43.38	135.64	174.16
Hypoxanthine	97.51	82.27	114.43	223.63	66.69	62.8	25.79	20.7	80.64	43.82	40.85	33.78	162.39	36.6	4.22	5.05	29.37	92.76	42.52	23.81	45.6	165.67	44.26	6.49	14.3	24.05	265.07	24.05	29.37	97.51	13.2	55.15	33.12	40.04	29.08	32.14	101.49	82.27	59.74	14.88	83.93	67.36	31.19	135.64	194.42	165.67	7.77	3.78	57.97	12.18	5.16	12.68	131.63	162.39	7.77	6.11	24.53	146.94	90.92	44.7	59.74	15.18	75.19	39.25	9.3	31.82	175.91	11.7	154.47	17.81	27.11	5.37	89.12	44.7	35.52	35.87	16.61
Isoleucine	5.58	8.17	9.3	37.71	40.04	8.17	2.1	2.18	7.1	14.44	8.76	12.3	6.69	11.25	2.32	3.35	14.88	6.82	10.91	10.49	11.13	18.36	15.33	2.92	8.17	9.3	11.7	18.92	3.82	10.38	5.1	8.17	3.9	14.01	3.67	5.64	5.53	6.3	5	10.38	5.47	13.33	1.95	13.2	9.68	7.17	2.97	2.69	17.99	4.01	4.01	4.06	12.94	7.24	2.89	2.89	7.69	12.68	14.59	2.12	16.28	1.79	2.8	6.3	2.25	8.33	21.33	4.44	17.64	4.66	4.18	2.94	9.87	7.85	3.22	4.14	2.72
Lactate	106.7	368.71	749.95	368.71	3640.95	113.3	130.32	22.65	39.65	196.37	66.02	192.48	149.9	107.77	17.46	194.42	18.17	132.95	90.02	90.92	80.64	177.68	149.9	55.15	41.26	138.38	424.11	87.36	15.18	125.21	35.52	73.7	42.1	61.56	19.89	19.69	63.43	188.67	87.36	145.47	98.49	200.34	48.42	139.77	350.72	507.76	53.52	27.11	81.45	94.63	27.66	62.8	112.17	196.37	17.46	7.85	30.88	137	98.49	63.43	174.16	24.05	47.94	15.03	7.32	60.34	131.63	35.16	198.34	35.52	17.81	22.87	42.52	39.25	109.95	21.76	31.5
Leucine	42.1	77.48	31.5	103.54	101.49	28.79	39.25	11.47	16.61	23.1	19.89	23.1	30.57	24.05	3.46	4.81	14.01	21.76	14.3	16.78	21.33	40.04	62.18	8.76	20.91	15.8	58.56	27.39	5.05	46.53	10.7	46.53	14.01	18.54	11.13	11.25	41.26	19.11	37.71	31.19	24.53	97.51	21.98	34.12	36.6	49.4	9.12	9.21	25.53	9.03	5.31	4.95	25.53	20.91	3.63	11.25	21.98	23.1	24.05	8.5	8.5	3.29	14.44	6.42	4.31	17.46	38.09	7.1	31.5	7.54	8.94	2.51	16.95	8.85	7.39	16.28	14.15
Lysine	146.94	284.29	97.51	290.03	122.73	120.3	127.74	65.37	63.43	265.07	119.1	181.27	44.7	47.94	85.63	15.18	123.97	80.64	67.36	117.92	121.51	119.1	237.46	25.28	17.81	69.41	239.85	177.68	26.05	137	16.95	62.18	115.58	170.72	75.94	22.2	32.79	92.76	464.05	31.5	78.26	340.36	45.6	94.63	96.54	295.89	26.05	22.2	52.98	16.12	28.79	12.18	106.7	48.91	10.49	19.49	44.7	85.63	87.36	34.81	36.97	17.46	82.27	28.79	21.76	63.43	91.84	24.53	292.95	17.12	35.87	30.27	46.06	19.11	31.5	788.4	478.19
Methylamine	52.46	23.57	18.73	48.91	27.94	36.97	24.78	3.6	12.3	14.73	46.99	47.94	27.94	21.98	8.08	2.53	15.49	20.7	19.11	43.82	11.94	26.58	30.27	1.77	15.8	21.98	19.3	10.8	6.49	27.11	12.06	24.05	10.38	9.3	4.26	6.49	18.54	44.26	10.91	6.3	24.05	29.67	20.49	13.46	20.09	46.99	5.26	5.05	39.65	5.58	5.1	1.51	9.03	44.7	4.1	4.44	26.84	4.39	17.46	20.29	16.44	3.53	3.67	5.75	2.56	9.03	14.73	4.18	17.29	3.42	6.49	3.97	41.26	5.05	7.85	5	2.44
Methylguanidine	9.97	7.69	4.66	141.17	5.31	43.38	28.79	4.31	13.46	43.82	70.81	19.89	16.95	8	2.56	6.75	3.29	4.26	8.5	11.13	6.3	34.47	31.82	2.53	7.46	10.8	6.42	2.41	2.34	34.12	18.54	11.82	3.97	3.19	2.08	6.3	33.12	22.2	14.01	2.29	17.99	34.81	8.85	14.73	6.3	20.09	2.48	1.7	7.85	2.8	5.16	6.75	26.58	8.67	5.26	2.92	5	34.47	35.16	3.39	4.31	2.92	4.39	6.89	3.67	26.58	44.26	3.49	36.6	17.29	1.77	1.86	10.91	19.3	14.3	12.43	7.17
